ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,598-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,598-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,599-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,599-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,600-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,601,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,602,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,603-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,603-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,196-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,196-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,196-3,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,63-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,63-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,63-3,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,65-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,65-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,66-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,66-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,66-3,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,66-4,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,67-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,67-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,67-3,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,67-4,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,67-5,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,224-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,224-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,225,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,226,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,227,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,228,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,229,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,230,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,231,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,232,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,233,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,234,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,235,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,236-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,236-2,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,237-1,,
11342-0304-1.zip,202502031124,比企郡嵐山町大字勝田,237-2,,
