ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1218-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1218-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1219-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1219-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1220,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1221,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1222,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1223-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1223-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1223-3,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1223-4,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1224-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1224-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1224-3,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1224-4,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1225-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1225-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1225-3,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1225-4,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1225-5,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1225-6,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1225-7,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1226-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1226-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1226-3,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1226-4,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1227-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1227-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1227-3,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1227-4,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1227-5,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1228,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1229,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1230-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1230-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1231-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1231-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1232,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1233-1,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1233-2,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1234,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1235,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1236,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1237,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1238,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1239,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1240,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1241,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1242,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,1243,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-28,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-31,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-32,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-36,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-44,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-46,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-52,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-54,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-56,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-61,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-66,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-82,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-83,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-84,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-85,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-89,,
11383-0328-1.zip,202502031318,児玉郡神川町大字下阿久原,無地番-98,,
