ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-1,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-3,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-4,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-38,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-39,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,水-9,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,水-10,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,168-3,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,無地番-1,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-2,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-5,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-6,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-7,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,水-4,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,水-8,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,長狭物不明-3,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-8,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-9,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-10,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-11,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-12,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-13,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,水-1,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,水-11,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,475,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-14,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-15,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-16,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-17,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-18,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-19,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-20,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-21,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,長狭物不明-2,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-27,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-28,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-29,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-30,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,水-5,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,水-6,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-22,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-23,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-24,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-25,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-26,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,長狭物不明-1,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-34,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,道-35,,
11445-0312-1.zip,202502031219,南埼玉郡白岡町大字岡泉,水-2,,
